uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
450,M,252,0,0,0,23.0,67.0,73.0,41.0,44.0
453,F,182,3,3,1,1.0,8.0,10.0,44.0,44.0
46,M,122,0,0,0,1.0,8.0,10.0,44.0,44.0
47,M,214,0,0,0,24.0,11.0,76.0,66.0,15.0
48,M,133,1,1,0,11.0,21.0,28.0,42.0,16.0
49,M,117,0,0,0,25.0,8.0,73.0,15.0,51.0
50,M,115,0,0,0,26.0,14.0,10.0,69.0,44.0
51,M,130,2,0,0,0.0,42.0,12.0,50.0,8.0
52,M,138,0,0,0,2.0,56.0,20.0,15.0,76.0
53,M,255,0,0,0,1.0,8.0,10.0,44.0,44.0
54,M,146,3,3,0,1.0,8.0,10.0,44.0,44.0
55,M,140,0,2,1,1.0,8.0,10.0,44.0,44.0
56,M,109,2,0,0,1.0,0.0,21.0,18.0,2.0
57,M,85,2,0,0,1.0,8.0,10.0,44.0,44.0
58,M,257,0,0,0,1.0,8.0,10.0,44.0,44.0
59,M,107,0,0,1,8.0,18.0,22.0,44.0,44.0
60,M,121,2,0,0,21.0,59.0,10.0,22.0,51.0
61,M,208,0,0,0,1.0,8.0,10.0,44.0,44.0
62,M,221,1,3,0,1.0,8.0,10.0,44.0,44.0
63,M,197,0,2,0,8.0,10.0,42.0,14.0,24.0
64,M,137,3,3,0,1.0,8.0,10.0,44.0,44.0
65,M,251,2,0,0,2.0,39.0,23.0,29.0,15.0
66,M,243,0,0,0,8.0,22.0,59.0,24.0,73.0
67,M,108,2,2,0,8.0,10.0,31.0,40.0,44.0
68,M,190,2,0,0,27.0,25.0,3.0,44.0,46.0
69,M,201,2,0,0,1.0,30.0,50.0,49.0,20.0
70,M,164,0,0,0,22.0,56.0,20.0,17.0,38.0
71,M,188,3,3,1,1.0,8.0,10.0,44.0,44.0
72,M,127,0,0,0,28.0,12.0,34.0,11.0,65.0
73,M,182,0,0,0,10.0,11.0,68.0,6.0,14.0
74,M,190,0,2,0,11.0,2.0,62.0,25.0,27.0
75,M,132,0,0,0,1.0,22.0,11.0,38.0,56.0
76,M,187,1,1,0,5.0,11.0,59.0,45.0,30.0
77,M,221,2,0,0,29.0,72.0,10.0,27.0,53.0
78,M,124,1,2,0,1.0,21.0,10.0,41.0,49.0
79,M,117,0,0,0,11.0,59.0,10.0,44.0,58.0
80,M,208,0,0,0,1.0,10.0,12.0,11.0,40.0
