uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
432,A,61,0,0,1,2.0,42.0,12.0,52.0,16.0
433,F,132,1,0,1,42.0,38.0,12.0,70.0,44.0
434,F,89,2,0,1,22.0,2.0,45.0,24.0,44.0
435,F,66,3,3,1,1.0,8.0,10.0,44.0,44.0
438,F,135,0,0,1,8.0,2.0,42.0,3.0,28.0
439,F,346,0,0,1,1.0,8.0,10.0,44.0,44.0
440,F,52,0,1,1,1.0,8.0,10.0,44.0,44.0
441,F,80,0,0,1,1.0,2.0,21.0,8.0,12.0
442,F,178,0,0,0,39.0,21.0,8.0,61.0,74.0
443,F,137,3,3,1,1.0,8.0,10.0,44.0,44.0
445,F,153,2,0,1,17.0,8.0,10.0,44.0,44.0
446,F,171,2,0,1,8.0,2.0,18.0,17.0,42.0
447,F,141,2,2,1,9.0,18.0,24.0,46.0,17.0
448,F,69,2,2,1,1.0,8.0,10.0,44.0,44.0
449,F,51,2,2,1,12.0,8.0,6.0,44.0,14.0
451,F,136,0,0,1,2.0,42.0,15.0,44.0,44.0
452,F,187,2,0,0,1.0,8.0,10.0,44.0,44.0
454,F,153,0,0,1,1.0,8.0,10.0,44.0,44.0
456,F,178,1,1,1,1.0,39.0,10.0,62.0,46.0
457,F,139,0,0,1,8.0,10.0,12.0,49.0,20.0
458,F,307,2,0,1,1.0,8.0,10.0,44.0,44.0
459,F,180,0,0,1,1.0,8.0,10.0,44.0,44.0
460,F,136,0,0,0,28.0,12.0,21.0,30.0,23.0
461,F,120,0,0,1,50.0,73.0,9.0,44.0,3.0
462,F,158,1,1,1,22.0,61.0,67.0,20.0,45.0
463,F,48,1,0,0,2.0,8.0,15.0,34.0,33.0
464,F,28,3,3,1,1.0,8.0,10.0,44.0,44.0
465,F,123,3,3,1,1.0,8.0,10.0,44.0,44.0
466,F,85,2,2,1,1.0,21.0,10.0,11.0,38.0
467,F,155,0,0,1,2.0,31.0,20.0,17.0,15.0
468,F,73,2,0,1,50.0,73.0,67.0,47.0,15.0
469,F,93,0,0,1,35.0,45.0,67.0,73.0,15.0
471,F,133,2,2,1,8.0,10.0,31.0,67.0,29.0
472,F,95,3,3,1,1.0,8.0,10.0,44.0,44.0
473,F,102,0,0,1,21.0,22.0,67.0,15.0,44.0
474,F,47,0,2,1,50.0,14.0,8.0,10.0,45.0
475,F,167,2,2,1,1.0,8.0,10.0,44.0,44.0
476,F,221,2,0,1,22.0,14.0,11.0,44.0,44.0
478,F,106,0,0,1,1.0,8.0,10.0,44.0,44.0
479,F,123,0,0,1,22.0,5.0,3.0,59.0,1.0
480,F,195,0,0,1,15.0,44.0,28.0,34.0,48.0
481,F,646,0,0,1,0.0,10.0,50.0,24.0,57.0
483,F,84,3,3,1,1.0,8.0,10.0,44.0,44.0
484,F,100,2,2,1,10.0,28.0,11.0,64.0,14.0
485,F,171,0,0,1,1.0,8.0,10.0,44.0,44.0
486,F,211,0,0,1,22.0,5.0,8.0,42.0,19.0
487,M,58,1,2,1,35.0,5.0,31.0,44.0,14.0
488,F,151,0,2,1,0.0,5.0,22.0,28.0,14.0
489,F,68,2,2,1,15.0,17.0,75.0,23.0,19.0
490,F,80,3,3,1,1.0,8.0,10.0,44.0,44.0
491,F,65,2,0,1,1.0,10.0,62.0,45.0,55.0
492,F,154,0,0,1,11.0,42.0,31.0,69.0,70.0
494,F,86,0,0,1,2.0,11.0,44.0,25.0,45.0
495,F,198,3,3,1,1.0,8.0,10.0,44.0,44.0
496,F,239,3,3,1,1.0,8.0,10.0,44.0,44.0
497,F,91,1,1,1,1.0,8.0,10.0,44.0,44.0
498,F,211,0,2,1,1.0,8.0,10.0,44.0,44.0
499,F,185,0,0,1,26.0,44.0,24.0,69.0,48.0
6,F,97,2,1,1,1.0,8.0,10.0,44.0,44.0
7,F,235,2,0,1,1.0,8.0,10.0,44.0,44.0
8,F,457,2,2,1,11.0,8.0,67.0,2.0,30.0
9,F,153,0,1,1,1.0,8.0,10.0,44.0,44.0
90,F,419,0,0,1,1.0,8.0,10.0,44.0,44.0
91,F,181,0,0,1,1.0,8.0,10.0,44.0,44.0
92,F,232,0,0,1,18.0,14.0,22.0,10.0,17.0
93,F,258,3,3,1,1.0,8.0,10.0,44.0,44.0
94,F,4895,0,0,1,1.0,8.0,10.0,44.0,44.0
95,F,414,0,0,1,40.0,10.0,11.0,29.0,20.0
96,F,140,0,0,1,1.0,10.0,34.0,6.0,15.0
97,F,15,3,3,1,1.0,8.0,10.0,44.0,44.0
98,F,140,2,1,1,22.0,10.0,2.0,31.0,29.0
197,A,-3,2,2,1,1.0,8.0,10.0,44.0,44.0
